OCCUPATION,SALARY,INSTALLMENT,TENOR,USIA,MERK,STATUS
O3,1790400,440000,35,46,KAWASAKI,LUNAS
O3,1650000,506000,35,51,HONDA,TARIKAN
O3,1942000,435000,36,44,HONDA,LUNAS
O2,1104000,364000,36,32,HONDA,LUNAS
O2,773452,175000,12,31,HONDA,LUNAS
O3,4751600,746000,18,36,HONDA,LUNAS
O2,1375000,440000,36,44,KAWASAKI,LUNAS
O3,3600000,478000,36,43,SUZUKI,LUNAS
O2,786910,502000,36,48,SUZUKI,LUNAS
O4,6380000,750000,18,53,SUZUKI,LUNAS
O2,5000000,627000,12,51,HONDA,LUNAS
O3,1632000,396000,36,61,SUZUKI,LUNAS
O3,2826800,547000,24,59,HONDA,LUNAS
O2,873975,483000,36,41,HONDA,LUNAS
O3,3090000,340000,36,62,SUZUKI,LUNAS
O4,5920000,431000,24,41,KAWASAKI,LUNAS
O2,5988600,580000,29,37,SUZUKI,LUNAS
O3,2111600,509000,24,41,SUZUKI,LUNAS
O3,4143750,1159000,11,52,HONDA,LUNAS
O3,1688160,491000,24,54,YAMAHA,LUNAS
O2,1315676,387000,36,42,SUZUKI,LUNAS
O3,1880000,584000,24,32,HONDA,LUNAS
O2,1152550,199000,36,36,KAWASAKI,LUNAS
O3,2090000,502000,36,29,SUZUKI,LUNAS
O1,1339100,340000,36,55,SUZUKI,LUNAS
O2,6422550,400000,35,29,SUZUKI,LUNAS
O3,1727600,494000,35,59,KAWASAKI,LUNAS
O2,15252000,488000,36,39,SUZUKI,LUNAS
O3,1562200,458000,35,57,KAWASAKI,LUNAS
O2,1169710,400000,35,29,SUZUKI,LUNAS
O1,774700,459000,35,41,KAWASAKI,LUNAS
O1,2102600,645000,17,40,SUZUKI,LUNAS
O3,951893,431000,36,53,KAWASAKI,LUNAS
O3,2115000,436000,36,59,KAWASAKI,LUNAS
O3,1985600,410000,35,37,SUZUKI,LUNAS
O3,2076000,506000,29,50,KAWASAKI,LUNAS
O3,1492000,412000,36,41,KAWASAKI,LUNAS
O3,1758000,401000,35,45,SUZUKI,LUNAS
O3,1684000,506000,35,39,HONDA,LUNAS
O3,1790720,436000,36,27,KAWASAKI,LUNAS
O3,4846500,462000,30,47,YAMAHA,LUNAS
O3,2682500,671000,36,56,KAWASAKI,LUNAS
O3,2316000,396000,36,44,SUZUKI,LUNAS
O2,1709300,487000,24,41,YAMAHA,LUNAS
O2,1156000,354000,36,57,YAMAHA,LUNAS
O3,2305200,565000,29,62,SUZUKI,LUNAS
O3,1911600,577000,24,46,HONDA,LUNAS
O2,1580000,503000,24,35,SUZUKI,LUNAS
O3,1713000,363000,36,58,SUZUKI,LUNAS
O3,1303500,366000,36,47,KAWASAKI,LUNAS
O2,1513758,464000,36,43,YAMAHA,LUNAS
O3,2031200,623000,18,41,SUZUKI,LUNAS
O2,1400000,473000,36,27,KAWASAKI,LUNAS
O3,1486000,382000,36,28,YAMAHA,LUNAS
O3,1209000,314000,24,40,KAWASAKI,LUNAS
O3,1412000,459000,36,29,KAWASAKI,TARIKAN
O2,1300000,413000,30,30,KAWASAKI,LUNAS
O2,1478000,491000,24,27,SUZUKI,LUNAS
O3,3020000,927000,12,26,KAWASAKI,LUNAS
O1,970000,496000,35,53,SUZUKI,LUNAS
O3,1298200,408000,36,42,KAWASAKI,LUNAS
